id_grounding,id_material,tipe,kuantitas,tipe_survey
1,73,1,1,SUTM
1,17,2,12,SUTM
1,229,2,2,SUTM
1,202,2,3,SUTM
1,203,2,4,SUTM
1,123,2,2,SUTM
1,162,2,1,SUTM
2,73,1,1,SUTM
2,17,2,12,SUTM
2,229,2,2,SUTM
2,202,2,3,SUTM
2,203,2,4,SUTM
2,123,2,2,SUTM
2,162,2,1,SUTM
3,73,1,2,CUBICLE
3,17,1,10,CUBICLE
3,229,1,4,CUBICLE
4,73,1,0,SUTM
4,1,1,0,SUTM
4,227,1,0,SUTM
4,406,1,0,SUTM
4,146,1,0,SUTM
4,229,1,0,SUTM
5,73,1,1,SUTM
5,1,1,12,SUTM
5,227,1,3,SUTM
5,406,1,3,SUTM
5,146,1,4.5,SUTM
5,229,1,2,SUTM
5,202,1,3,SUTM
5,203,1,4,SUTM
5,123,1,2,SUTM
5,162,1,1,SUTM