nomor_material,nomor_konstruksi,kuantitas,tipe
405,9,1,1
13,9,1,1
30,9,2,1
28,9,2,1
388,9,1,1
520,9,2,1
395,9,4,1
201,9,4,1
160,9,3,2
472,9,3,2
405,10,1,1
13,10,1,1
30,10,1,1
28,10,1,1
201,10,2,1
28,10,1,1
160,10,3,2
472,10,3,2
220,10,9,3
420,10,3,3
220,10,3,3
146,10,"2,25",3
195,10,1,3
417,10,3,3
73,10,1,1
17,10,12,2
229,10,2,2
202,10,3,2
203,10,4,2
123,10,2,2
162,10,1,2
405,12,2,1
13,12,2,1
12,12,1,1
29,12,3,1
389,12,1,1
391,12,2,1
189,12,2,1
395,12,4,1
201,12,6,1
160,12,6,2
469,12,6,2
404,26,1,1
13,26,1,1
389,26,1,1
391,26,2,1
189,26,2,1
395,26,4,1
30,26,3,1
29,26,2,1
463,26,3,2
205,26,3,2
27,26,3,2
48,26,3,2
404,25,2,1
13,25,2,1
29,25,4,1
272,25,1,1
389,25,1,1
391,25,1,1
189,25,2,1
395,25,4,1
201,25,8,1
463,25,3,2
205,25,3,2
27,25,3,2
48,25,3,2
160,3,1,
463,3,3,
205,3,3,
48,3,3,
27,3,3,
473,3,1,
445,3,3,
463,4,3,
205,4,3,
48,4,3,
27,4,3,
445,4,3,
404,4,2,4
13,4,2,4
12,4,1,4
30,4,4,4
29,4,2,4
70,4,1,4
201,4,6,4
419,4,3,4
217,4,3,4
404,17,2,1
13,17,2,1
29,17,4,1
272,17,2,1
389,17,1,1
391,17,2,1
189,17,2,1
395,17,4,1
201,17,8,1
160,17,1,2
473,17,2,2
463,17,6,2
205,17,6,2
48,17,6,2
445,17,3,2
27,17,6,2
404,31,2,1
405,31,1,1
13,31,3,1
29,31,4,1
30,31,1,1
12,31,1,1
390,31,1,1
391,31,3,1
189,31,3,1
395,31,4,1
201,31,12,1
70,31,1,1
160,31,4,2
463,31,3,2
205,31,3,2
48,31,3,2
27,31,3,2
472,31,3,2
473,31,1,2
122,31,3,2
404,33,2,1
405,33,2,1
13,33,4,1
29,33,4,1
390,33,1,1
391,33,3,1
189,33,3,1
395,33,4,1
201,33,10,1
70,33,1,1
160,33,4,2
463,33,3,2
205,33,3,2
48,33,3,2
27,33,3,2
472,33,3,2
473,33,1,2
122,33,3,2
404,5,2,1
13,5,2,1
12,5,1,1
30,5,4,1
29,5,2,1
201,5,4,1
195,5,1,1
160,5,1,2
463,5,3,2
205,5,3,2
48,5,3,2
473,5,1,2
122,5,3,2
27,5,3,2
404,14,4,1
13,14,4,1
12,14,2,1
30,14,8,1
272,14,1,1
29,14,6,1
201,14,12,1
70,14,2,1
160,14,2,2
463,14,6,2
205,14,6,2
48,14,6,2
473,14,2,2
445,14,3,2
27,14,6,2
404,7,2,1
13,7,2,1
12,7,1,1
30,7,4,1
29,7,2,1
201,7,4,1
70,7,1,1
160,7,2,2
463,7,3,2
205,7,3,2
48,7,3,2
473,7,2,2
122,7,3,2
27,7,3,2
404,8,2,1
13,8,2,1
12,8,1,1
30,8,4,1
29,8,2,1
201,8,4,1
70,8,1,1
160,8,2,2
463,8,3,2
205,8,3,2
48,8,3,2
473,8,2,2
122,8,3,2
27,8,3,2
419,8,3,4
217,8,3,4
404,2,2,1
13,2,4,1
272,2,1,1
29,2,4,1
463,2,3,2
48,2,3,2
205,2,3,2
122,2,3,2
420,2,3,2
24,2,3,2
220,2,3,2
29,2,2,2
201,2,4,2
70,2,1,2
27,2,3,2
95,2,1,5
218,2,3,5
32,2,1,5
410,2,3,2 DS
73,2,1,1
17,2,12,2
229,2,2,2
202,2,3,2
203,2,4,2
123,2,2,2
162,2,1,2
404,28,4,1
405,28,2,1
13,28,6,1
272,28,2,1
30,28,2,1
29,28,12,1
201,28,24,1
463,28,6,2
205,28,6,2
48,28,6,2
27,28,6,2
46,29,2,1
29,29,4,1
201,29,8,1
272,29,2,1
412,29,1,1
195,29,2,1
463,29,6,2
205,29,6,2
48,29,6,2
27,29,6,2
46,20,2,1
14,20,4,1
412,20,1,1
272,20,2,1
195,20,2,1
29,20,7,1
201,20,14,1
160,20,2,2
463,20,6,2
205,20,6,2
48,20,6,2
27,20,6,2
8,20,3,2
445,20,3,2
183,20,4,6
182,20,4,6
46,21,2,1
405,21,2,1
14,21,6,1
12,21,1,1
272,21,2,1
70,21,1,1
30,21,4,1
29,21,9,1
201,21,18,1
160,21,4,2
463,21,6,2
205,21,6,2
48,21,6,2
27,21,6,2
8,21,6,2
445,21,3,2
183,21,5,6
182,21,5,6
447,38,1,
448,38,1,
30,38,2,